,0,1,2,3,4,5,6
0,10.27,28.51,68.04,132.89,220.65,230.31,235.47
1,10.25,29.53,68.57,159.7,236.43,240.52,246.81
2,10.18,29.74,69.42,160.17,238.29,243.59,250.59
